nulo,Ciudad de Mexico,Monterrey,Guadalajara,Cancun,Aculco,Ajijic,Alamos,Amealco de Bonfil,Aquismon,Arteaga,Atlixco,Bacalar,Batopilas,Bernal,Bustamante,Cadereyta de Montes,Calvillo,Candela,Capulalpam de Mendez,Casas Grandes,Chiapa de Corzo,Chignahuapan,Cholula,Coatepec,Comala,Comitan,Comonfort,Compostela de Indias,Cosala,Coscomatepec,Creel,Cuatro Cienegas,Cuetzalan del Progreso,Cuitzeo del Porvenir,Dolores Hidalgo,El Oro,El Rosario,El Fuerte,Guadalupe,Guerrero,Huamantla,Huasca de Ocampo,Huauchinango,Huautla de Jimenez,Huichapan,Isla Aguada,Isla Mujeres,Ixtapan de la Sal,Izamal,Jala,Jalpa de Canovas,Jalpan de Serra,Jerez de Garcia Salinas,Jiquilpan de Juarez,Lagos de Moreno,Linares,Loreto,Magdalena de Kino,Malinalco,Mani,Mapimi,Mascota,Mazamitla,Mazunte,Melchor Muzquiz,Metepec,Mexcaltitan,Mier,Mineral de Angangueo,Mineral de Pozos,Mineral del Chico,Mocorito,Nombre de Dios,Nochistlan de Mejia,Orizaba,Pahuatlan,Palenque,Palizada,Papantla,Paracho de Verduzco,Parras de la Fuente,Patzcuaro,Pinos,Real de Asientos,Real de Catorce,Real de Monte,Salvatierra,San Cristobal de las Casas,San Joaquin,San Jose de Gracia,San Juan Teotihuacan,San Pablo Villa de Mitla,San Pedro Tlaquepaque,San Pedro y San Pablo Teposcolula,San Sebastian del Oeste,Santa Catarina Juquila,Santa Clara del Cobre,Santa Maria del Rio,Santiago,Sayulita,Sisal,Sombrerete,Tacambaro,Talpa de Allende,Tapalpa,Tapijulapa,Taxco de Alarcon,Tecate,Tecozautla,Tepotzotlan,Tepoztlan,Tequila,Tequisquiapan,Tetela de Ocampo,Teul de Gonzalez Ortega,Tlatlauquitepec,Tlayacapan,Tlalpujahua de Rayon,Tlaxco,Todos Santos,Tonatico,Tula,Tulum,Tzintzuntzan,Valladolid,Valle de Bravo,Viesca,Villa del Carbon,Xico,Xicotepec,Xilitla,Yuriria,Zacatlan de las Manzanas,Zempoala,Zimapan,Zozocolco de Hidalgo
Ciudad de Mexico,0,713.1150311811687,458.9373458829202,1284.6885729058793,108.83964282387569,448.14914765266315,1314.8782443233538,139.79048918253392,243.29959821056488,693.1745197885706,88.93245613741225,1125.2085223821146,1222.5223687045327,170.96562763723335,802.6420079798261,159.95549448989192,464.7292243755341,839.1867310976137,364.4278333437715,1509.3808680569596,708.7137055728167,118.0223876437966,90.1925359423491,221.52756704298992,491.98050157174197,815.4834383242745,226.93266419687734,639.9366499303529,960.7368745439949,216.41774601227021,1270.415352277993,893.6310805735872,174.57006793079796,224.61891961312153,272.79639578959217,118.19237103922839,807.0797371056026,1247.2591063850082,513.5058356439713,995.456945954258,121.36606889141181,99.89563590851365,134.42858398174022,275.8241294505601,120.61096238180016,799.195588617778,1301.5953254403535,91.62348051119301,1062.263328487794,589.4273187139322,343.6029760254951,202.4780395084899,541.2126383901733,387.00816405764544,366.6259050772724,605.2673486960401,1454.2337792471276,1725.2033302394489,70.1260163626059,1017.4387192416812,863.5838224644019,609.6487885596734,416.8053509623065,496.84258819497865,970.9931988646196,57.67359359776869,720.3758540497059,777.6540827895019,128.7685423385778,247.88054421121493,93.6399057995505,1130.2121241286675,723.8607577323536,447.985292589026,216.6832875074233,134.1720913657081,777.648568008416,746.3748725173059,215.76235422357544,312.8822789133488,740.1694464802117,266.0660925150314,410.8535292783455,441.9389951824692,508.77610210253937,88.50581068236784,208.04088087039673,743.1924444245932,172.34350243333256,460.19810818186585,34.30925770809955,400.1362936084807,462.00778165608693,271.63044349264896,621.2658820352079,402.5228445242396,269.24298617233563,314.79292976058946,674.8683363476018,683.3739849570853,962.0565020285347,663.9870053121955,251.28181661865085,610.2023686795039,493.7541663515958,699.1726880935033,112.93309602921707,2276.089111274533,135.60712251274492,34.75189108917946,50.23697500311705,522.4740781816167,147.90795460521565,139.11244268732807,509.7536580808703,171.37048127493918,54.29798644424816,122.3590327448755,101.66934966094936,1237.0967601453397,93.86990506295187,74.24138280685723,1216.4964004013016,263.26737806015285,1143.614506404642,114.22869583407181,760.519355584879,52.23360832171661,216.38545187795515,149.24012370124848,216.88004411704253,231.99629086850146,128.87787650904752,67.97485712935546,148.39103962044376,175.05124868199215
Monterrey,713.1150311811687,0,669.2371785232073,1448.5100678273075,632.7199737779737,689.3965287048921,891.0746606682535,621.7850982554143,475.04239998341063,82.94561535762219,782.9987149133788,1439.8892207147858,772.4688459756903,560.4752151597273,92.93038135442964,566.2938750108243,511.60266921191004,130.50992056008243,1014.9765130123104,923.8352725820812,1247.570913173125,693.7372800493999,767.9420304754254,773.8346174067931,809.4058618349603,1344.1349193001492,566.4700390327473,702.2259940028009,680.0536470723841,809.0774955373876,778.6858114354724,236.930654649845,693.0296364165993,654.508046535133,520.6446816251579,664.449360477279,659.3452307196036,852.2530145848402,415.1195913039445,282.70651427854267,752.8560252485356,639.3616146570587,657.6229167874541,914.4191455283434,602.6302359087995,1178.1031988231623,1453.5580168236793,772.272467876284,1253.0644827152162,681.8409203837135,577.3582929241417,511.16469164688965,454.3656672152988,696.4426220265896,525.6308966261597,115.59438305580393,1123.8775491593067,1192.2307040543778,761.7368455404122,1248.613424946662,374.3764006617872,754.678868875418,716.789309763363,1183.2186780584843,272.0597617771972,726.8438940781224,695.0864117314707,119.38045350951862,685.0493143919662,508.06712333215273,634.4225705579701,783.8350085203996,468.4129393785586,564.5375804388077,829.3462901998956,643.8119920192449,1244.4731850244007,1175.344138946055,656.9139492235764,710.7769190535528,211.6124445716501,713.4464521810555,414.6803414524843,442.0703360012171,245.14268357037776,644.0777256228727,623.7447114491403,1268.008804719685,543.5017474194717,466.55796269047,688.973395096636,1058.2278612696762,658.6612836720242,958.3205551820282,738.8112884490032,1100.2754308302044,725.7853515147766,446.8577924564259,39.640573066562276,770.6488904591325,1148.0146757038167,428.9902140924918,741.196512354179,769.6405723431387,748.5821453299071,1194.9797348726734,804.7783062968388,1769.5146273879375,584.931447539381,680.2952035504528,762.340014813273,664.0466453752198,584.9873042694318,703.6015916575907,588.6713513723308,711.3758133774855,767.3948932976084,664.2245560764527,714.842155007802,1054.9208057288643,776.2082036937082,641.2442530746519,1433.0885540807292,700.1056928820839,1340.726625942234,732.7111511253723,274.8167399712062,676.006367694055,774.6075162787516,650.2423620508195,501.53828022739305,627.644148720151,686.1670087518675,668.4548628143683,565.2246577663565,678.3294766138517
Guadalajara,458.9373458829202,669.2371785232073,0,1708.6364061081374,364.4858094139809,26.05450723263978,923.0958067291027,331.9404966191439,461.4571549000331,602.3965722415329,540.7129975443701,1575.070813390073,851.6568553634219,351.2356575980351,726.2701736489352,363.56147273779334,158.86564326711866,751.764876911898,805.510257865422,1190.1176244220437,1164.6824142145724,556.1049053170245,547.9345064049311,673.9896032044533,141.61964749897263,1271.0402421942442,265.80018085706865,183.5651783716992,554.394573613862,674.6457148909867,915.3112750375357,729.563276799136,606.050739788186,234.32857419784108,256.27716551224523,341.19065613337085,380.55899076840893,849.5594702481893,261.17320710291494,914.7226173819874,578.891911732503,494.6405279457017,549.1328655034225,728.5660536561586,381.40098039476686,1251.6271715186654,1723.0607470034024,423.5296050092769,1486.3429544934718,133.71403586525992,143.2708563969518,405.64527260803584,238.28490501660377,85.060406424091,170.06295301634924,615.89302748842,1022.01705365295,1359.6959306102663,435.52798802827573,1449.4960032541285,592.6601815184666,154.27613143280976,74.22484980937399,895.0041882092971,837.3712276220318,413.6378539024347,271.94462555342363,780.8484203223776,331.4029031579123,302.3675669551989,478.36272925224506,725.4804592298844,380.66759143783446,104.74291303967019,675.5994507711246,538.2765730987487,1236.5247921852417,1203.16420257171,624.1095471124488,164.15422012207284,558.2883727801411,210.28775509228646,266.382012071813,228.32376955407614,431.1879499841715,485.18204942264356,255.35585765417733,1200.1506294457388,391.65475343134403,202.80455846035778,471.70777525198673,833.8720133952944,12.020756331122097,697.6009347568202,162.80591261834533,793.8403077654133,214.36208276828793,301.9654580423436,633.1894914246858,224.89398794195745,1381.0536745331974,347.23083013402925,241.38364623110576,158.5438890528467,79.93305633940446,1158.041308012478,445.51011028708393,1879.7839243917067,382.56245366097625,435.9081680150622,472.35946363957703,67.59518031602954,355.75477622757035,579.5928907185889,105.52726833382229,611.1934452569432,485.1560807740929,336.92752333717226,551.1127628915775,783.6589381139538,426.08747708024265,417.15507427754187,1650.7675404229467,206.5983458694152,1571.7246754175792,364.2777704206545,537.9802916910661,411.1055713378321,669.5560746682528,558.2782379090266,458.38526473810055,229.6222883087789,561.8762820120407,488.9197035636077,409.145903597641,599.2071884176429
Cancun,1284.6885729058793,1448.5100678273075,1708.6364061081374,0,1353.9123950767894,1705.8668021970893,2334.6628050219324,1383.982266005031,1259.2093937084396,1508.7587717159997,1231.0551428096228,306.9261144327196,2217.665460508362,1357.4100697378308,1514.379996048343,1345.1972245657032,1641.8528195411548,1541.4197933748271,1087.2917656802306,2347.8491896821542,805.6179925225811,1169.719745832045,1213.1686735376256,1066.6032568786366,1771.8401664373732,769.1524984904253,1442.8387684292688,1868.6811149646471,2064.811513749687,1084.5494971151793,2227.1734365954608,1677.0355540905775,1114.4638772144979,1490.216513722255,1458.3507366399274,1387.9125798943048,1967.6981937045284,2289.0517709626633,1623.9799707621514,1583.9957711115362,1168.6705094151453,1220.9979472950931,1167.3191954398333,1093.173851435317,1330.6004485249034,544.2840712586759,25.821572160455275,1360.0548234405117,222.8305442424958,1821.315235492507,1568.3755361479455,1306.6680342826348,1672.1027182423622,1653.7366189526854,1560.8643904501655,1366.6173242271632,2550.9913381307983,2629.0092471449034,1338.9880045023917,271.6750675943856,1810.0593349648689,1862.335148160988,1685.814066254627,1182.954054610382,1663.6475147394267,1341.5468301109408,1925.9617158539684,1385.5039381883967,1406.815326189326,1412.3711272197052,1236.9883214552026,2203.3533248683916,1809.4835627909497,1655.5097234451873,1096.1283762947485,1176.0122042379903,664.5973090580746,627.8126771869652,1087.5270021863619,1589.2368537382706,1637.760546234903,1545.6563941135305,1524.9002610352966,1577.5290519361179,1469.9589419911233,1231.960018768887,1460.067523936663,772.3450144243654,1317.3421738990166,1610.795801267253,1260.2391657730316,1097.4444221611266,1707.5575648203294,1180.8496285171439,1866.8110230671673,1220.1496703131302,1550.6952927346856,1436.8976483959827,1440.4134414535113,1926.7596897278788,327.82184247630835,1747.1450123241639,1535.0993381386445,1867.1676204693529,1761.9188462796055,736.6027365293603,1359.9765016912029,3204.3508338806773,1327.292726357455,1295.2972388870055,1297.407293934963,1760.3711089730946,1354.1634870636522,1147.0226875160065,1718.6811814569621,1114.318875226247,1285.9611762634238,1392.1695705911318,1183.0526006063033,2415.624147059494,1360.0370432515183,1302.20916325,111.11925844949297,1540.3245046304307,143.36991005654195,1398.6962369589708,1695.7176490724414,1319.907651232294,1072.2726447553366,1156.0899291884057,1256.2238717651474,1485.9924626857667,1160.990474448831,1234.5659785977145,1299.5483397652192,1118.182916052121
Aculco,108.83964282387569,632.7199737779737,364.4858094139809,1353.9123950767894,0,357.135198323685,1206.042375199958,33.10878321683929,190.58210824533245,604.5337244574282,197.76470506019385,1210.891120168921,1113.8463832527468,72.63253541921131,719.2914083665504,66.6624939311457,356.77832566878806,754.9055646840042,473.2070852303555,1403.6099990095101,812.9848334941851,191.61918878564012,197.10787518085954,310.03566516341846,418.8529393304011,919.8420557404075,118.3854519489658,541.4076240713134,852.5132684377512,314.1595161774393,1162.2356923418372,799.4536380533434,242.53768984904923,136.3296129400775,164.14498056807994,44.16043790151382,700.8463842323847,1138.4927613970892,405.0552856119002,915.1866662093837,218.93589735826532,132.9468148804497,187.03568934549313,383.26408959301097,37.22164249785525,887.1426821421597,1369.5329555068454,139.94170963235618,1131.0932100484965,491.08729368452185,239.4028253219833,130.83710557195778,432.37453213535804,300.82269550701164,258.6787149750829,530.8560428265504,1347.1232705021707,1617.040512510913,132.06972800899044,1090.7454154289842,758.4648372807812,518.0291699934816,332.51691166044225,602.6893410414787,882.1139334186133,96.50680779593375,618.3008551859457,708.0579784981239,70.0731174303326,142.70833699260243,116.92435518098448,1021.6888945331184,615.0512411740671,342.8230742938348,318.5208652055795,177.90052617342434,875.700395643727,839.49710834221,266.6826833203359,236.1440189812398,641.1422502664959,195.63259171977543,303.7970532174768,333.30786994394765,414.1487095866565,122.30850215929087,109.151596741658,846.5830131982084,95.9535195513026,351.3694954533391,110.44227078930335,508.9407222114545,366.03894685602256,379.3924116688898,527.1861622904241,506.39730909226193,202.89912293548002,211.29284808953003,593.5484272775656,589.1723652700197,1027.8349708064356,555.3519463535595,194.32513746542483,520.3649076134959,409.25097851745267,799.1671655870326,172.7809204616563,2167.2711321119277,53.84059016268907,77.29058751737445,145.64071017941123,424.90292181844694,47.83641869437325,215.10920621700092,405.75238692718426,246.82865634443436,155.3406429161141,47.045764443771326,187.8101495788338,1134.8413069664339,143.91380195381322,52.76278821049071,1291.4555468778933,188.39642328431077,1214.869899409267,104.90495440849148,657.9516283389395,56.835910583014815,305.79916977555365,197.83272437479883,168.87830110797822,135.04175676280465,197.60996380284428,124.44229089954757,86.36504496183366,236.84820957094567
Ajijic,448.14914765266315,689.3965287048921,26.05450723263978,1705.8668021970893,357.135198323685,0,946.5914626793987,325.11914935832004,464.33205549706184,623.7737003887265,528.1779546162651,1567.9552121158783,876.2259522197431,349.0646117747276,748.0206862020723,360.92682327980197,181.10416884150064,774.0256070751977,790.2527876188618,1215.724375808354,1151.4624545205147,548.4649483961672,536.3508435702465,665.3281897253318,120.03286364630263,1257.6097337971553,264.2146801806837,200.42325006238852,577.7625829460417,664.4133911551713,940.3297559531605,753.9293122291772,599.5184590439378,223.99643733813411,259.8234645323067,331.2512521789846,402.89484914969086,872.8194618404349,284.13097347415777,937.4425210559108,568.8366034581682,488.67826595317393,543.1760176460041,715.210354215826,376.2792713849264,1243.7195732858984,1720.6172137636886,408.39626400918667,1483.3492716482772,151.8587721979196,147.72780073598793,406.58822362927174,263.02642430429546,65.36003456165496,181.33089952494268,633.2288213209266,1041.9648464442296,1383.9806052329022,421.34304094207556,1445.4082683217437,618.5720745408671,161.58524643011768,49.11884884824629,876.0037826250225,861.319288169234,400.98306942177084,291.26887236028443,799.9864204121009,319.76517576551805,305.27681482821066,472.4147319431354,748.511956773826,406.6906379106124,126.18143083406696,664.4814420897362,532.8237834211358,1225.6536092557005,1193.8271951213337,619.6527864960187,145.84402501731654,582.3553320961737,193.28441033919887,282.69407952090086,247.52328621063057,449.59444367725916,478.80521033452396,248.20134773117968,1187.2787426772948,390.53722214172075,223.8281397517272,462.5683894220393,817.746497956455,37.898927069815834,681.4580349744813,173.78941453240273,774.8934654006634,196.238182067558,310.6144051715237,652.9417967785778,235.6877200438287,1378.5451700362107,373.16200817977614,222.79217318484024,163.23417481917298,65.16758190313682,1146.5602918367795,429.15244041441866,1902.2731572429407,378.6502325415882,426.56890033400225,459.1184792752845,88.52262629290132,351.77353140356684,571.9716425556107,131.55717121354954,603.9033157726475,471.97372759749584,326.94000822111974,542.2971055875266,799.6458233507254,410.7953893450843,409.897258949878,1646.5282035051773,190.9137248265152,1568.2928503409657,350.01453611061356,562.9779289220179,401.5654587715824,660.7470533518864,552.8639024896515,459.77122360017,222.1818789254138,554.7377163584764,481.26122307155873,406.6249629924955,593.2306040302886
Alamos,1314.8782443233538,891.0746606682535,923.0958067291027,2334.6628050219324,1206.042375199958,946.5914626793987,0,1175.683492932631,1171.3594477852535,826.2361796948072,1403.80701535895,2297.4701955183696,119.61214372353594,1151.7832056223253,839.4340836317679,1164.9112965807167,854.004754067646,821.0895595784569,1679.177363503849,384.03085671906723,2002.2114723491986,1370.0797724676145,1401.9707962239816,1485.2994197560356,1007.3405407479962,2107.83025252099,1088.221836549734,763.6517200787908,368.86607462263424,1503.7802247765012,152.1364098998343,681.6302157212818,1400.6185010946394,1117.601421899871,1042.5745451817866,1205.6608117158603,546.0994501666555,75.90088617666825,804.2583167357888,855.5641823683629,1415.299681143453,1300.260532555413,1345.6286429918641,1586.9417603623463,1200.8745339358054,2005.839452069416,2340.9228674122382,1314.2787450804176,2132.2349473700256,802.545453240912,983.9517243680158,1157.8542680582646,773.6703741589745,1007.2398562471545,950.756798408697,968.1216366746598,264.28377677460173,445.34536520005315,1319.2751880394976,2120.4765761048884,524.924409000381,837.7516606405426,995.4448414250877,1798.805466397892,739.1488537780499,1288.545846279842,669.6823948193961,974.2116240708618,1208.2443493710414,1073.2975898367447,1286.6785595939346,200.54757088993588,591.7205767427502,882.9472435879285,1514.2708773794607,1330.8766398374419,2038.3406225921983,1983.2713045580138,1390.2955628991408,1081.7847214994058,697.1955205964459,1122.3993702952237,911.9334704344597,874.2008425920613,890.8847289502318,1296.6967918966343,1117.4962203804953,2031.7989421636667,1170.3158066420046,854.6871508233017,1311.7955025580914,1714.8074476952218,913.6298842753719,1583.072924216298,812.0639035252394,1698.6198429358576,1129.441480250436,1014.2455733934548,895.3447203131225,772.4666951715983,2025.1076357516047,653.6182148780379,1156.7349312085296,850.4232291033778,949.1182802630852,1972.2315303391604,1342.62663634895,962.3561823533707,1190.8372600319365,1282.5125077203284,1346.5634722950333,858.5903235358985,1171.1934765269323,1390.2148753710972,832.0973940732047,1413.9180405877012,1357.9129370515832,1202.3440720131555,1378.0449159684645,419.05982062568535,1317.6791575752604,1248.6054544910191,2311.939538359175,1114.8664280168125,2220.8598779777676,1253.8182893213132,640.9408492947941,1262.7416835859444,1483.0536513310044,1347.0788975539556,1188.3855590537164,1099.0787718483539,1369.6042988917875,1312.6463416712409,1197.3347031400683,1388.172863951735
Amealco de Bonfil,139.79048918253392,621.7850982554143,331.9404966191439,1383.982266005031,33.10878321683929,325.11914935832004,1175.683492932631,0,198.07950992084713,589.7417184615234,228.55769703535285,1243.2021664683318,1084.447532712879,65.13397822955221,706.6975603325133,65.67562121394509,324.9663406665496,741.7781822519054,504.05180760322213,1377.6126016016747,845.7702277053826,224.2842463605843,229.05361425006225,343.00502175429125,390.3386219739216,952.6247764581287,87.46921096235569,508.37541105417563,820.948371390107,347.24248440133954,1133.7715561221416,781.261283734343,274.4122913850534,106.89429782378224,135.8196963165038,42.693278834606886,668.28746161233,1107.754089030474,376.4878184906548,903.5300326580006,251.9497424281931,163.780916267629,218.2029511141843,415.20368666144685,55.61318426330476,919.7388517648557,1399.3900094523842,157.02828728308447,1161.201783865864,458.0767042134792,206.3652973333809,134.23455525906365,402.1940944764929,269.92043558986427,226.8521768500503,523.098454410177,1314.8944137975775,1588.5410821945131,153.1718981222888,1121.5475301342615,733.3147272202813,485.70271349611374,301.87329442351734,629.8038987704599,866.5093698213873,118.40212118307316,585.2077964779583,701.4894200075737,64.72916268474147,120.8480672268143,147.56713438932573,990.4630982314865,585.2536691091899,309.9556242388124,351.41700500193156,208.3500568956139,908.808235454437,872.4590283092888,296.4554043843376,208.19408725673438,620.4492527079552,170.46014764084035,277.6187255060854,304.40822628839254,397.00425321918993,153.70100580617702,76.9191680421785,879.4755628221958,101.08768987771947,321.09634683044766,143.42425790338459,539.1298002424459,333.3044393283487,408.259108563913,494.5444565885617,532.4879030614478,178.85966102474674,189.7178400439046,582.3526322784609,556.4859023738264,1057.5228890663686,526.2180329667121,173.74384782992067,488.29160597568153,378.2951778619256,832.2560162843627,189.93262138086465,2137.2770388695267,65.89313784916871,109.64939707593878,172.53612334332604,391.9703566908504,45.60051838150698,247.74450582712956,372.75083388531795,279.25339207728325,183.13953615891836,42.52032793003348,220.8985546309235,1101.772094282658,161.0038182298835,85.28682288365195,1322.4146029413669,161.97140651472876,1245.3118971773554,110.9471939453352,634.8734117293055,87.58867811556694,338.8060060613928,228.37597931555263,179.38111910854275,102.95655530915148,229.9396715416715,157.20500916710733,100.36665217284518,268.2064177463635
Aquismon,243.29959821056488,475.04239998341063,461.4571549000331,1259.2093937084396,190.58210824533245,464.33205549706184,1171.3594477852535,198.07950992084713,0,464.6139684849793,308.05092091760827,1156.022846288775,1067.919864457073,137.1020663555856,566.3892744820902,132.77320321909028,383.2462493488773,603.5516360167485,550.4877237997925,1319.8620830285633,834.5552605364703,223.41651749833161,292.9707128077266,322.79296594287257,556.1170126543396,938.9393676101274,206.89860390032814,610.3087826785919,844.0130949952891,350.243699883873,1104.8485371184781,671.6214826941401,236.7708062695741,287.3228667280587,205.1840522971859,233.26971934382127,719.9878743002741,1110.3526939564401,381.2219881643595,755.8511563037921,281.0003438204837,164.4916858381363,189.819796316477,450.06501525207796,153.61996797454796,845.8630715456137,1272.114383917586,316.6658343833216,1038.9023204755724,563.9864008990622,318.1863083556158,65.30099011230278,424.66845926928613,425.32766634093394,302.9216926298447,364.2237276103166,1344.4673084573583,1555.4382863003011,301.41485166778324,1008.569442159935,678.6322806535641,610.9908010285953,457.313511035324,711.3349251144839,739.644461014503,269.59195142290605,667.4200260279958,534.5559409920601,258.95792997388656,159.16818658209843,159.4884002298783,1003.3595642271205,588.5808767533273,397.1102318823363,366.95858487364217,174.99066683387633,867.3660057872506,815.2452301989357,219.21320590191738,384.81223964063446,533.0984023823836,357.4982382298205,274.03922932432494,323.9895511108711,299.1530496781906,169.05307586770877,249.01321407291883,862.4210097750348,97.00142281970219,355.3109150512193,215.94271384469445,592.4993319823329,458.1667983068812,484.7237155995712,612.3523816894309,625.8494366523614,367.8649073086426,178.52164148002808,437.9414184499584,670.5986076874825,931.6996610059623,524.2410853826465,368.00258418303713,618.0199338285867,526.817270368112,801.0093149995428,346.6813443216037,2120.4308564327957,136.8247157751323,213.37683864622687,293.5050541350486,505.8582053135909,152.48357986212216,237.25919009960256,459.7012409099551,252.9227288913275,296.74775209007186,235.2186669268515,242.0400363130719,1168.5168985516402,320.2799312662363,177.65441918977123,1209.5072232746998,346.45233222163614,1126.1981292977607,294.4571492223718,565.6930909669517,215.86816499091506,321.79740911168494,186.1048367470128,26.683883808336056,269.7435689928233,217.878657985384,193.52923398636102,105.42575272401004,222.90263046387147
Arteaga,693.1745197885706,82.94561535762219,602.3965722415329,1508.7587717159997,604.5337244574282,623.7737003887265,826.2361796948072,589.7417184615234,464.6139684849793,0,768.6826741031307,1486.884986487097,708.9118321455683,531.9361750046484,125.24522102856044,539.4542764361344,443.63708528791057,155.70204625333082,1013.5152079118799,887.0038113538359,1266.7015350794454,687.6185497836002,755.6278471249893,777.3372505187275,743.6482633804075,1365.9165557173162,526.1088476043296,624.3773990590432,600.0812229080498,809.7606543554783,721.2881235426404,209.64775596602587,693.6925666646683,610.1358232443092,477.3468788475019,632.2791266772094,576.40936670108,783.6401870964746,343.7583020526128,321.39372997336955,745.5960401544078,628.1952801216644,652.8842977015339,912.7852734626777,577.5466322685215,1214.833516308031,1514.777401780805,744.3652964326875,1308.8546827187197,606.2432619274282,521.2376096802066,491.1074611122715,379.6894965300151,636.1012528180784,468.3663955389508,144.84183010777957,1052.6248514218894,1147.0087110433035,735.945110682039,1300.8437638023363,303.3892722368723,679.5859139923497,654.2884995582968,1175.847857560879,277.9461170519044,700.5143157491543,613.9379537967369,201.31755509397817,650.914309924064,471.45506448929194,621.281505881442,709.677467007775,385.47189668697575,497.81891846984865,828.4548962149177,638.4151881513116,1272.5792859819524,1206.5971786939408,662.6618371426872,657.4692771466326,133.9444642054572,664.7334770889438,358.1743589772521,378.69678010080116,195.75000092978294,631.3741487579476,582.2316831604867,1289.2891970928467,521.0200317965774,399.9455637226403,672.0495658827164,1056.052529890579,591.4089687715077,948.8224022495314,662.7026675811969,1088.9034597190498,676.9558573657971,405.948549318848,70.49237586565098,692.2637145977576,1202.5905193126257,346.8249952957031,694.4610367332214,694.8979717916413,680.8370942197898,1218.7807081428155,777.2782988071626,1723.2713318296271,560.4392689080018,659.2420871597507,740.988163784745,592.3572802054853,556.8005624984374,699.9510294780637,516.840132019902,711.4033993135876,747.2775280079024,631.5450181908791,706.6484006290252,974.5934062248418,748.3486583694379,619.5836625289817,1488.8753639369647,651.5209830335245,1397.119635045042,700.1699487615227,196.6295796072916,652.0168612575285,777.4660649882131,647.2298861359232,490.18732290101843,583.0798310314357,681.3248462747785,654.9367892121514,544.9470250351002,679.0992118689563
